"subdomain","ips","http_ok","http_status","final_url","error"
"apps.example.com","","False",,,
"host3.example.com","","False",,,
"8080.example.com","","False",,,
"pump3.example.com","","False",,,
"host5.example.com","","False",,,
"www2.example.com","","False",,,
"atlanta.example.com","","False",,,
"www3.example.com","","False",,,
"konferencje.example.com","","False",,,
"www4.example.com","","False",,,
"purple.example.com","","False",,,
"recruitics.example.com","","False",,,
"backend.example.com","","False",,,
"bucket.example.com","","False",,,
"relay.example.com","","False",,,
"bob.example.com","","False",,,
"jabber.example.com","","False",,,
"rooms.example.com","","False",,,
"www1.example.com","","False",,,
"ru.example.com","","False",,,
"mail.example.com","","False",,,
"wwww.example.com","","False",,,
"conference.example.com","","False",,,
"sales.example.com","","False",,,
"conferencia.example.com","","False",,,
"certs.example.com","","False",,,
"caldav.example.com","","False",,,
"account.example.com","","False",,,
"logo.example.com","","False",,,
"link2.example.com","","False",,,
"link1.example.com","","False",,,
"chair-dnrc.example.com","","False",,,
"mail1.example.com","","False",,,
"rteurl.example.com","","False",,,
"search.example.com","","False",,,
"server.example.com","","False",,,
"serverabc.example.com","","False",,,
"mxs.example.com","","False",,,
"mock.example.com","","False",,,
"corp.example.com","","False",,,
"sip.example.com","","False",,,
"crl2.example.com","","False",,,
"my.example.com","","False",,,
"crls.example.com","","False",,,
"site.example.com","","False",,,
"crt.example.com","","False",,,
"myproxy.example.com","","False",,,
"myupdateproxy.example.com","","False",,,
"somelist.example.com","","False",,,
"site2.example.com","","False",,,
"acme.example.com","","False",,,
"nowhereatall.example.com","","False",,,
"myapp.example.com","","False",,,
"de.example.com","","False",,,
"dataservice.example.com","","False",,,
"ns.example.com","","False",,,
"site1.example.com","","False",,,
"somewhere.example.com","","False",,,
"currentdomain.example.com","","False",,,
"status.example.com","","False",,,
"evil.example.com","","False",,,
"other.example.com","","False",,,
"one.example.com","","False",,,
"allowlisted.example.com","","False",,,
"android.example.com","","False",,,
"docs.example.com","","False",,,
"srv2.example.com","","False",,,
"foo.example.com","","False",,,
"admin.example.com","","False",,,
"es.example.com","","False",,,
"another.example.com","","False",,,
"en.example.com","","False",,,
"spam.example.com","","False",,,
"ns2.example.com","","False",,,
"ns1.example.com","","False",,,
"fr.example.com","","False",,,
"pop.example.com","","False",,,
"an.example.com","","False",,,
"subdomain.example.com","","False",,,
"supplier.example.com","","False",,,
"project1.example.com","","False",,,
"svn.example.com","","False",,,
"gems.example.com","","False",,,
"test1.example.com","","False",,,
"proxy.example.com","","False",,,
"gate.example.com","","False",,,
"pump.example.com","","False",,,
"test2.example.com","","False",,,
"pump1.example.com","","False",,,
"api.example.com","","False",,,
"app.example.com","","False",,,
"guts2.example.com","","False",,,
"update.example.com","","False",,,
"pump2.example.com","","False",,,
"host2.example.com","","False",,,
"host1.example.com","","False",,,
"srv1.example.com","","False",,,
"www.example.com","23.32.74.51;23.32.74.58","True","200","http://www.example.com",
"ftp.example.com","","False",,,
